Included in VUE,Tag model,Serial No. ,ID Code,Detecciones,VUE Tag ID,Tag life (days),Species,Length,Zone,Capture Lat,Latitude,Longitude,Capture Long,Location name,Capture date,Recapture date,Hour ini,Hour end,Release Lat,Release Long,Fishing type,External tag colour,External tag ID,Observation,PROBLEMS
Si,V13P,1356093,16210,,A69-9007-16210,446,Seriola dumerili ,67,Cap de Creus,"4,232,094",,,"333,111",Massa d'Or,20201223,,11:40,11:50,"4,232,094","333,111",Canya,Vermell,40,Colega Iscle,
,V13P,1356094,16211,,A69-9007-16211,446,,,,,,,,,,,,,,,,,,,
,V13P,1356095,16212,,A69-9007-16212,446,,,,,,,,,,,,,,,,,,,
Si,V13P,1356096,16213,,A69-9007-16213,446,Sphyraena viridensis,74,Medes,"4,205,220",,,"320,637",port,20203112,,07:30,07:55,"4,205,220","320,637",Canya,Vermell,48,Iscle,
Si,V9,1355980,40699,,A69-1602-40699,503,Dicentrarchus labrax,40,Riu Muga,4224392,42.24392,3.10642,310642,,20201126,,20:21,,"4,286,833","348,500",Canya,Verd,213,Pescat per Iscle,
Si,V9,1355973,40692,,A69-1602-40692,503,Dicentrarchus labrax,38,Riu Muga,4225442,42.25442,3.08817,308817,,20201212,,11:30,11:35,"4,251,500","337,333",Canya,verd,275,Pescast per Iscle,
,V13P,1356099,16216,,A69-9007-16216,446,,,,,,,,,,,,,,,,,,,
Si,V13P,1356100,16217,,A69-9007-16217,446,Sparus aurata,38,Medes,"4,204,524",,,"321,897",Embarcador,20200917,,22:06,22:10,"4,204,524","321,897",Palangre,Vermell,59,,
Si,V13P,1356101,16218,,A69-9007-16218,446,Sparus aurata,41,Medes,"4,205,016",,,"322,112",Salpatxot,20201014,,13:20,14:06,"4,205,016","322,112",Canya,vermell,16,Pesca amb canya i musclo,
Si,V13P,1356102,16219,,A69-9007-16219,446,Spondyliosoma cantharus,39,Medes,"4,204,510",,,"322,210",Cementiri,20200901,,10:24,10:45,"4,204,510","322,210",Canya,Vermell,96,Iscle i Miguel Angel,
Si,V13P,1356103,16220,,A69-9007-16220,446,Sparus aurata,40,Medes,"4,204,510",,,"322,210",Cementiri,20200901,,11:42,11:50,"4,204,510","322,210",Canya,Vermell,95,Iscle i Miguel Angel,
Si,V13P,1356104,16221,,A69-9007-16221,446,Sparus aurata,55,Medes,"4,205,016",,,"322,112",Salpatxot,20201014,,13:00,14:06,"4,205,016","322,112",Canya,vermell,15,Pesca amb canya i musclo,
